team,1930,1934,1938,1950,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018,2022,code,country,confederation,url
South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,8.0,11.0,11.0,11.0,11.0,RSA,South Africa,CAF,https://countryflagsapi.com/png/south%20africa
South Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,9.0,11.0,19.0,22.0,28.0,31.0,34.0,39.0,,,,
Spain,0.0,4.0,4.0,14.0,14.0,14.0,16.0,20.0,20.0,20.0,22.0,26.0,37.0,43.0,53.0,61.0,71.0,80.0,88.0,92.0,99.0,108.0,ESP,Spain,UEFA,https://countryflagsapi.com/png/spain
Sweden,0.0,4.0,15.0,26.0,26.0,38.0,38.0,38.0,40.0,47.0,48.0,48.0,48.0,51.0,66.0,66.0,71.0,74.0,74.0,74.0,80.0,80.0,SWE,Sweden,UEFA,https://countryflagsapi.com/png/sweden
Switzerland,0.0,5.0,10.0,14.0,25.0,25.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,33.0,33.0,33.0,37.0,38.0,45.0,50.0,55.0,SUI,Switzerland,UEFA,https://countryflagsapi.com/png/switzerland
Togo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,TOG,Togo,CAF,https://countryflagsapi.com/png/togo
Trinidad and Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRI,Trinidad and Tobago,CONCACF,https://countryflagsapi.com/png/trinidad%20and%20tobago
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,8.0,8.0,8.0,13.0,14.0,TUN,Tunisia,CAF,https://countryflagsapi.com/png/tunisia
Turkey,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,20.0,TUR,Turkey,UEFA,https://countryflagsapi.com/png/turkey
Ukraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,UKR,Ukraine,UEFA,https://countryflagsapi.com/png/ukraine
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,UAE,United Arab Emirates,AFC,https://countryflagsapi.com/png/united%20arab%20emirates
United States,7.0,8.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,14.0,17.0,18.0,25.0,27.0,32.0,37.0,37.0,40.0,,,,
Uruguay,15.0,15.0,15.0,30.0,46.0,46.0,50.0,52.0,56.0,57.0,57.0,57.0,59.0,61.0,61.0,61.0,65.0,65.0,76.0,80.0,87.0,89.0,URU,Uruguay,CONMEBOL,https://countryflagsapi.com/png/uruguay
Wales,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,WAL,Wales,UEFA,https://countryflagsapi.com/png/wales
Yugoslavia,7.0,7.0,7.0,14.0,16.0,23.0,33.0,33.0,33.0,45.0,45.0,47.0,47.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,,,,
